Nº SAG,NOMBRE COMERCIAL ,APTITUD,SERIE,FORMULACIÓN (CÓDIGO),FORMULADO EN QUE SE BASA,INGREDIENTE ACTIVO EN QUE SE BASA,TOXICIDAD (CÓDIGO),TOXICIDAD PECES Y ALGAS,TOXICIDAD AVES,TOXICIDAD ABEJAS,INFLAMABLE,CORROSIVO,EXPLOSIVO,MODO DE ACCIÓN,TIPO DE PLAGUICIDA (NATURAL),REPRESENTANTE LEGAL,TITULAR AUTORIZACIÓN,FECHA PRIMERA AUTORIZACION,FECHA VENCIMIENTO,NORMA DE AUTORIZACION,SITUACION ,PAIS DE DESTINO (SOLO EXPORTACION)
1785,BIOIL SPRAY,INSECTICIDA - ACARICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,Químico Natural,Andrés Mauriz Stoltzmann,DROPCO S.A.,03/11/2011,03/11/2031,3670/1999,VIGENTE,
1786,MAGISTER 20 SC,ACARICIDA - INSECTICIDA - FUNGICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,DANIEL ROWLANDS BERGER,GOWAN CHILE SpA,05/02/2011,05/02/2031,3670/1999,VIGENTE,
1787,ADMIRAL 10 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,INHIBIDOR DE METAMORFOSIS Y EMERGENCIA DE INSECTOS ADULTOS. ACCIÓN REGULADORA DE CRECIMIENTO DE INSECTOS,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,05/23/2011,05/23/2031,3670/1999,VIGENTE,
1788,INTREPID SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,07/28/2011,07/28/2026,3670/1999,VIGENTE,
1789,KNOCKOUT,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,III (Poco Peligroso),Extremadamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,MAURICIO ZWANZGER VUSKOVIC,AGROSPEC S.A.,08/05/2011,08/05/2026,3670/1999,VIGENTE,
1790,AGRIMEK,ACARICIDA - INSECTICIDA  ,1000 Insecticida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Muy Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"INGESTION, CONTACTO Y TRANSLAMINAR",,Pedro Donoso Maslov,SYNGENTA S.A.,09/14/2011,09/14/2026,3670/1999,VIGENTE,
1791,PURE SPRAY 22 E,INSECTICIDA - ACARICIDA - FUNGICIDA,1000 Insecticida,Aceite Dispersivo (SO),CLON DE ELF PURE SPAY. AUT. Nº 1683,CLON,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Daniel Ignacio Fellhandler Bascopé,TOTALENERGIES MARKETING CHILE S.A.,12/20/2011,12/20/2026,3670/1999,VIGENTE,
1792,APPLAUD 40 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Baja Toxicidad,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,INSECTICIDA - REGULADOR DE CRECIMIENTO,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,02/02/2012,02/02/2027,3670/1999,VIGENTE,
1793,PUZZLE SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTÉMICO, DE CONTACTO E INGESTIÓN",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,02/17/2012,02/17/2027,3670/1999,VIGENTE,
1794,MOCAP 400 CS,NEMATICIDA,1000 Insecticida,Suspensión De Encapsulado (CS),,,II (Moderadamente Peligroso),Levemente Tóxico,Moderadamente Tóxico,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y de contacto,,RAÚL LUNA CATALÁN,ACRES S.A.,05/14/2012,05/14/2027,3670/1999,VIGENTE,
1795,CENTRIC 75 SG,INSECTICIDA,1000 Insecticida,Granulado Hidrosoluble (SG),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTÉMICO Y DE CONTACTO ,,Pedro Donoso Maslov,SYNGENTA S.A.,10/09/2012,10/09/2027,3670/1999,VIGENTE,
1799,NINJA,INSECTICIDA,1000 Insecticida,Suspensión De Encapsulado (CS),CLON DE KARATE CON TECNOLOGIA ZEON AUT Nª 1582,CLON,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión, repelente y antialimentario",,Pedro Donoso Maslov,SYNGENTA S.A.,10/16/2012,10/16/2027,3670/1999,VIGENTE,
1800,EXCELTO,INSECTICIDA,1000 Insecticida,Suspensión Concentrada Para Tratamiento De Semillas (FS),,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,Prácticamente No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTÉMICO Y DE CONTACTO ,,Pedro Donoso Maslov,SYNGENTA S.A.,12/03/2012,12/03/2027,3670/1999,VIGENTE,
1801,VESPUGARD,INSECTICIDA,1000 Insecticida,Combi-Pak Sólido-Sólido (KP),"FIPRONILO (BASADO EN EL I.A. DONAU 25 SC , AUT.  DEL SAG N° 1,697) ",,III (Poco Peligroso),Ligeramente Tóxico,Levemente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Francisco Di Silvestre,ANASAC AMBIENTAL S.A.,01/18/2013,01/18/2028,3670/1999,VIGENTE,
1802,PUZZLE 70% WG,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),PROSEED 700 WS N° 1781,,III (Poco Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Altamente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto y translaminar",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,04/25/2013,04/25/2028,3670/1999,VIGENTE,
1803,CARBARYL S 85,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),CLON DE CARBARIL S 85 AUT SAG Nº 1302,1302,II (Moderadamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,OSCAR HAM FREDES,SOLCHEM SpA,02/06/2013,02/06/2028,3670/1999,VIGENTE,
1804,PEDESTAL ,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),CLON DE RIMON 10 EC AUT SAG Nº 1615,CLON,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,Rodrigo Saavedra,MAKHTESHIM AGAN CHILE SpA,04/17/2013,04/17/2028,3670/1999,VIGENTE,
1805,NATUR' L OLEO,INSECTICIDA - COADYUVANTE,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,Químico Natural,Felipe Andrés Ryan Suazo,STOLLER DE CHILE S.A.,04/17/2013,04/17/2028,3670/1999,VIGENTE,
1806,IMIDACLOPRID 70% WS,INSECTICIDA,1000 Insecticida,Polvo Dispersable Para Tratamiento De Semillas (WS),"IMIDACLOPRID (BASADO EN EL I.A. IMIDACLOPRID 70 WP AGROSPEC , AUT.  DEL SAG N° 1.735) ",,III (Poco Peligroso),Prácticamente No Tóxico,Muy Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y contacto,,MAURICIO ZWANZGER VUSKOVIC,AGROSPEC S.A.,04/25/2013,04/25/2028,3670/1999,VIGENTE,
1808,CLORPIRIFOS S 48O,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),CLON DE CHLORPYRIFOS 480 EC AUT SAG Nº 1492,CLON,III (Poco Peligroso),Extremadamente Tóxico,Muy Tóxico,Altamente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"Contacto, ingestión e inhalación",,OSCAR HAM FREDES,SOLCHEM SpA,06/27/2013,06/27/2028,3670/1999,CANCELADO,
1809,ETANIS 50 EW,INSECTICIDA,1000 Insecticida,Emulsión Aceite En Agua (EW),CLON DE DIAZOL 50 EW AUT SAG Nº 1591,CLON,II (Moderadamente Peligroso),Extremadamente Tóxico,Extremadamente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"CONTACTO, ESTOMACAL Y RESPIRATORIA",,Rodrigo Saavedra,MAKHTESHIM AGAN CHILE SpA,07/29/2013,07/29/2028,3670/1999,VIGENTE,
1810,PROCLAIM FORTE,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),"BENZOATO DE EMAMECTINA (BASADO EN EL I.A. PROCLAIM 5 SG , AUT.  DEL SAG N° 1.719) ",,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Prácticamente No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,INGESTION Y CONTACTO,,Pedro Donoso Maslov,SYNGENTA S.A.,12/12/2013,12/12/2028,3670/1999,VIGENTE,
1811,CLOSER,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,INGESTION Y CONTACTO,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,04/27/2014,04/27/2029,3670/1999,VIGENTE,
1817,TERVIGO,NEMATICIDA,1000 Insecticida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Muy Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO,,Pedro Donoso Maslov,SYNGENTA S.A.,12/11/2014,12/11/2029,3670/1999,VIGENTE,
1819,CORMORAN EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),ACETAMIPRID (BASADO EN EL I.A HURRICANE 70 WP AUT. SAG 1717); NOVALURON (BASADO EN EL I.A RIMON 10 EC AUT. SAG 1615) ,,II (Moderadamente Peligroso),Moderadamente Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,"ROBERTO VARGAS GÁLVEZ
MARTIN EZEQUIEL BLANCK
CARLOS DANILOWICZ
GABRIEL GOLDSTEIN
RODRIGO SAAVEDRA ASPILLAGA 
NATALIA  SAAVEDRA ASPILLAGA
",MAKHTESHIM AGAN CHILE SpA,01/08/2015,01/08/2030,3670/1999,VIGENTE,
1820,OVERKILL,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y contacto,,Christian Zwanzger R.,AGROSPEC S.A.,03/13/2015,03/13/2030,3670/1999,VIGENTE,
1821,DELICO 100 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,REGULADOR DE CRECIMIENTO,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,04/21/2015,04/21/2030,3670/1999,VIGENTE,
1822,AMICOR,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),CLON DE CORAGEN AUT SAG Nº 1767,CLON,IV (Productos Que Normalmente No Ofrecen Peligro),Virtualmente No Tóxico,Virtualmente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTEMICO Y CONTACTO ,,FABIO RICARDO MORETTO ,FMC QUÍMICA CHILE LTDA.,06/22/2015,06/22/2030,3670/1999,VIGENTE,
1823,AVICTA,NEMATICIDA,1000 Insecticida,Suspensión Concentrada Para Tratamiento De Semillas (FS),ABAMECTINA (BASADO EN EL I.A VERTIMEC 018 EC AUT. SAG 1525),,I a (Sumamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO y SISTEMICO,,Pedro Donoso Maslov,SYNGENTA S.A.,01/04/2016,01/04/2031,3670/1999,CANCELADO,
1826,VERANGO PRIME,NEMATICIDA,1000 Insecticida,Suspensión Concentrada (SC),"I.A. FUOPIRAM EN LUNA EXPERIENCE 400 SC, N° 2802",,II (Moderadamente Peligroso),Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Vicente Bravo Palma,BAYER S.A.,10/18/2016,10/18/2031,3670/1999,VIGENTE,NO APLICA
1827,PUNTO 70 WG,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),,"PUNTO 70 WP,  N° 1.547",II (Moderadamente Peligroso),Prácticamente No Tóxico,Muy Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTEMICO E INGESTIÓN,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,11/15/2016,11/15/2031,3670/1999,VIGENTE,
1828,ORBITA SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),ZERO 5 EC 1567 (IA LAMBDA CIHALOTRINA,,II (Moderadamente Peligroso),Tóxico,Levemente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,No Indica,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,11/17/2016,11/17/2031,3670/1999,VIGENTE,NO APLICA
1829,CARBARYL 480 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),EL I.A ESTÁ BASADO EN CARBARYL S 85 (AUT. SAG 1803),,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"CONTACTO, INGESTIÓN Y RALEADOR QUÍMICO",,OSCAR HAM FREDES,SOLCHEM SpA,11/24/2016,11/24/2031,3670/1999,VIGENTE,NO APLICA
1830,ANTIPODA 200 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),I.A PIROPROXIFENO BASADO EN PLAGUICIDA N° SAG 1821 + IA ACETAMIPRID BASADO EN PLAGUICIDA N° SAG 1717,NO,II (Moderadamente Peligroso),Extremadamente Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,CORROSIVO DERMAL,NO EXPLOSIVO,"SISTÉMICO, CONTACTO E INGESTIÓN",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,01/12/2017,01/12/2027,3670/1999,VIGENTE,NO APLICA
1831,COLT 45 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),CLON DE GLADIADOR 450 WP  AUT SAG Nº 1778,1778,II (Moderadamente Peligroso),Extremadamente Tóxico,Muy Tóxico,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTEMICO Y CONTACTO,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,04/20/2017,04/20/2027,3670/1999,VIGENTE,
1832,IMICLAN 70 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),CLON DE PUNTO 70 WP AUT SAG Nº 1547,1547,III (Poco Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico  ,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,04/20/2017,04/20/2027,3670/1999,VIGENTE,NO APLICA
1833,INVICTO 50 CS,INSECTICIDA,1000 Insecticida,Suspensión De Encapsulado (CS),,,II (Moderadamente Peligroso),Extremadamente Tóxico,No Tóxico,Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,04/07/2017,04/07/2027,3670/1999,VIGENTE,NO APLICA
1834,BIFENTRIN 100 EC ,INSECTICIDA - ACARICIDA,1000 Insecticida,Concentrado Emulsionable (EC),CLON BIFENTRIN 10 EC AGROSPEC AUT SAG Nº 1782,1782,II (Moderadamente Peligroso),Extremadamente Tóxico,Prácticamente No Tóxico,Ligeramente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,CRISTIAN LAMA FERES,NEWPAT CHEMICALS SpA,06/05/2017,06/05/2027,3670/1999,VIGENTE,NO APLICA
1835,ACETAMIPRID 70% WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),CLON ACETAMIPRID 70 WP AGROSPEC AUT SAG Nº 1820,1820,II (Moderadamente Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,SISTEMICO Y CONTACTO ,,CRISTIAN LAMA FERES,NEWPAT CHEMICALS SpA,05/24/2017,05/24/2027,3670/1999,VIGENTE,NO APLICA
1836,LAMBDA CIHALOTRINA 50 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),CLON LAMBDACIHALOTRINA 5 EC AGROSPEC AUT SAG Nº 1789,1789,III (Poco Peligroso),Extremadamente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTION,,CRISTIAN LAMA FERES,NEWPAT CHEMICALS SpA,07/13/2017,07/13/2027,3670/1999,VIGENTE,NO APLICA
1837,ACECLAN 70 WP,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),CLON DE HURRICANE 70 WP AUT SAG Nº 1717,1717,III (Poco Peligroso),Prácticamente No Tóxico,Ligeramente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO E INGESTION",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,07/27/2017,07/27/2027,3670/1999,VIGENTE,
1838,PREDATOR,INSECTICIDA,1000 Insecticida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Ligeramente Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,06/16/2017,06/16/2027,3670/1999,VIGENTE,NO APLICA
1839,AZYRA,INSECTICIDA,1000 Insecticida,Dispersión Oleosa (OD),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Moderadamente Tóxico,Prácticamente No Tóxico,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO E INGESTION",,"FABIO RICARDO MORETTO 
",FMC QUÍMICA CHILE LTDA.,11/10/2017,11/10/2027,3670/1999,VIGENTE,NO APLICA
1841,EXIREL,INSECTICIDA,1000 Insecticida,Suspo-Emulsión (SE),DEL I.A. DE AZYRA,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO",,FABIO RICARDO MORETTO ,FMC QUÍMICA CHILE LTDA.,11/30/2017,11/30/2027,3670/1999,VIGENTE,NO APLICA
1845,"CONNECT 112,5 SC",INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),"I.A. IMIDACLOPRID EN CONFIDOR 350 SC, N° 1455 / I.A. BETA-CIFLUTRINA EN MONARCA 112,5 SE, Nº SAG 1635",,III (Poco Peligroso),Altamente Tóxico,Poco Tóxico,Muy Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto e ingestión",,Vicente Bravo Palma,BAYER S.A.,11/30/2017,11/30/2027,3670/1999,VIGENTE,NO APLICA
1846,FORTENZA SEMILLERO,INSECTICIDA,1000 Insecticida,Suspensión Concentrada Para Tratamiento De Semillas (FS),DEL I.A DE AZYRA N° SAG 1839,NO,IV (Productos Que Normalmente No Ofrecen Peligro),Ligeramente Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO E INGESTION",,Pedro Donoso Maslov,SYNGENTA S.A.,12/13/2017,12/13/2027,3670/1999,VIGENTE,NO APLICA
1847,ZEUS 480 SC,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),,NO,II (Moderadamente Peligroso),Extremadamente Tóxico,Moderadamente Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Insecticida de contacto, estomacal con propiedades sistémicas",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,01/11/2018,01/11/2028,3670/1999,VIGENTE,
1848,CLORPIRIFOS 480 EC,INSECTICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,NO,II (Moderadamente Peligroso),Extremadamente Tóxico,Moderadamente Tóxico,Altamente Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto e ingestión,,Christian Zwanzger Ruiz,AGROSPEC S.A.,01/15/2018,01/15/2028,3670/1999,CANCELADO,NO APLICA
1849,NIMITZ 480 EC,NEMATICIDA,1000 Insecticida,Concentrado Emulsionable (EC),NO APLICA,NO,III (Poco Peligroso),Muy Tóxico,Ligeramente Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,RODRIGO SAAVEDRA,MAKHTESHIM AGAN CHILE SpA,02/06/2018,02/06/2028,3670/1999,VIGENTE,NO APLICA
1850,IMICLAN 600 FS,INSECTICIDA,1000 Insecticida,Suspensión Concentrada Para Tratamiento De Semillas (FS),CLON DE PUNTO 600 FS Nº SAG 1769,,III (Poco Peligroso),Prácticamente No Tóxico,Muy Tóxico,Extremadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,05/03/2018,05/03/2028,1557/2014,VIGENTE,
1852,QUILATE 700 WP ,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),NO APLICA,,II (Moderadamente Peligroso),No Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,"SISTEMICO, CONTACTO E INGESTION",,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,07/28/2018,07/28/2028,3670/1999,VIGENTE,NO APLICA
1853,STARKLE 20 % SG,INSECTICIDA,1000 Insecticida,Granulado Hidrosoluble (SG),NO APLICA,NO,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Muy Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTIÓN,,SHINNOSUKE ONO,SUMMIT AGRO CHILE SpA.,07/29/2018,07/29/2028,3670/1999,VIGENTE,NO APLICA
1854,MINECTO PRO,INSECTICIDA,1000 Insecticida,Suspensión Concentrada (SC),BASADO EN EL I.A VERTIMEC 018 EC AUT. SAG 1525 / DEL I.A DE AZYRA N° SAG 1839,NO,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Muy Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,CONTACTO E INGESTIÓN,,Pedro Donoso Maslov,SYNGENTA S.A.,07/23/2018,07/23/2028,3670/1999,VIGENTE,NO APLICA
1856,MAJESTIC,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),,,III (Poco Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"CONTACTO, ESTOMACAL Y SISTEMICA",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,07/26/2018,07/26/2028,3670/1999,VIGENTE,NO APLICA
1857,HURRICANE 70 WG,INSECTICIDA,1000 Insecticida,Granulado Dispersable (WG),HURRICANE 70 WP (NºSAG 1717),,III (Poco Peligroso),Ligeramente Tóxico,Muy Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"SISTEMICO, DE CONTACTO E INGESTION",,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,08/14/2018,08/14/2028,3670/1999,VIGENTE,NO APLICA
1858,KANDA,INSECTICIDA,1000 Insecticida,Polvo Mojable (WP),"SOLO FORMULADO, ACETAMIPRID EN OVERKILL, N*1.820 / LAMBDA CIHALOTRINA EN KNOCKOUT, N*1789",,II (Moderadamente Peligroso),Moderadamente Tóxico,Moderadamente Tóxico,Altamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y contacto,,MAURICIO ZWANSGER V.,AGROSPEC S.A.,08/02/2018,08/02/2028,1557/2014,VIGENTE,NO APLICA
1859,NEW CH-CFI,INSECTICIDA - ACARICIDA - COADYUVANTE,1000 Insecticida,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Leonardo Galindo Calvo,YPF CHILE S.A.,10/08/2018,10/08/2028,3670/1999,VIGENTE,
1860,NEW CH-RI,INSECTICIDA - ACARICIDA - COADYUVANTE,1000 Insecticida,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Leonardo Galindo Calvo,YPF CHILE S.A.,09/29/2018,09/29/2028,3670/1999,VIGENTE,
